,surface,series,order_surfaces,isBasement,isFault,color,vertices,edges,id
1,OVB,OVB_Series,1,False,False,#6FB2D2,"[[3.49480000e+06 7.50900000e+06 1.03616776e+02]
 [3.49480000e+06 7.50909000e+06 1.04312073e+02]
 [3.49492600e+06 7.50900000e+06 1.06220947e+02]
 ...
 [3.50097400e+06 7.51323000e+06 2.11401581e+02]
 [3.50097400e+06 7.51332000e+06 2.12977707e+02]
 [3.50097400e+06 7.51341000e+06 2.14605743e+02]]","[[   2    1    0]
 [   3    1    2]
 [   3    4    1]
 ...
 [2706 2656 2705]
 [2706 2657 2656]
 [2707 2657 2706]]",1
0,UPX,UPXO_Series,1,False,False,#EBD671,"[[ 3.49491130e+06  7.50900000e+06 -3.48000000e+02]
 [ 3.49480000e+06  7.50909000e+06 -3.58731102e+02]
 [ 3.49484525e+06  7.50909000e+06 -3.48000000e+02]
 ...
 [ 3.49971864e+06  7.51179000e+06 -3.12000000e+02]
 [ 3.49971964e+06  7.51179000e+06 -2.76000000e+02]
 [ 3.49971777e+06  7.51179000e+06 -2.40000000e+02]]","[[   2    1    0]
 [   0    1    3]
 [   0    5    4]
 ...
 [4504 4610 4506]
 [4506 4610 4611]
 [4506 4611 4482]]",2
2,basement,UPXO_Series,2,True,False,#85C88A,,,3
